cset: --> last message, executed args into cpuset "/user", new pid is: 1384192
No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
175284;0.742933;0.627185;0.633154
184019;0.742757;0.645459;0.64179
193190;0.744508;0.636385;0.649258
202820;0.745196;0.577186;0.57455
212931;0.748489;0.582392;0.580871
223547;0.750633;0.588172;0.587298
234692;0.753114;0.597608;0.594225
246395;0.755044;0.603246;0.602335
258683;0.75855;0.609611;0.61093
271585;0.756993;0.616777;0.620236
285132;0.762615;0.624541;0.630287
299354;0.769751;0.635805;0.64123
314289;0.774777;0.644894;0.652734
329969;0.779328;0.653298;0.665947
346432;0.788476;0.668635;0.679282
363719;0.797919;0.674404;0.695319
381870;0.812567;0.68964;0.710492
400928;0.819901;0.67995;0.679931
420937;0.835876;0.696601;0.694235
441947;0.848482;0.706311;0.709481
464005;0.865233;0.722515;0.726753
487165;0.885433;0.738157;0.744963
511485;0.907443;0.755199;0.765025
537019;0.93252;0.773011;0.785863
563827;0.957856;0.79488;0.807882
591977;0.989153;0.815778;0.831862
621532;1.02009;0.837005;0.855832
652567;1.0472;0.860366;0.88108
685151;1.0831;0.886662;0.914056
719359;1.11932;0.916448;0.943994
755280;1.15784;0.942962;0.976894
792997;1.19438;1.07257;1.05474
832595;1.23153;1.10583;1.07669
874177;1.26298;1.08567;1.10481
917832;1.30817;1.116;1.13098
963677;1.34828;1.14014;1.15991
1011813;1.38313;1.18205;1.19015
1062351;1.41651;1.19882;1.22134
1115422;1.44688;1.2285;1.24882
1171143;1.47728;1.23884;1.28462
1229634;1.51271;1.27594;1.32282
1291062;1.55019;1.32173;1.35496
1355554;1.58217;1.33915;1.39718
1423274;1.61938;1.37153;1.43307
1494380;1.65063;1.41151;1.47736
1569031;1.68305;1.44719;1.52188
1647417;1.71721;1.49619;1.52537
1729734;1.75194;1.51138;1.55126
1816153;1.78529;1.53118;1.57917
1906885;1.81675;1.555;1.60944
2002164;1.8506;1.57815;1.64085
2102198;1.87409;1.60621;1.67226
2207233;1.90484;1.61708;1.7064
2317508;1.92995;1.64139;1.744
2433290;1.95868;1.67784;1.78042
2554854;1.98447;1.71957;1.82222
2682511;2.01197;1.75038;1.86265
2816546;2.04097;1.78042;1.90595
2957287;2.06208;1.81907;1.9477
Runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.822484;0.722503;0.70872
10500;0.815968;0.715533;0.702063
11025;0.81044;0.708615;0.695448
11576;0.807868;0.702142;0.688799
12154;0.80581;0.697881;0.685018
12760;0.805211;0.853877;0.843408
13396;0.908989;0.83939;0.83062
14063;0.899678;0.82797;0.817768
14763;0.890089;0.816172;0.804521
15498;0.880278;0.805108;0.793537
16269;0.873141;0.794394;0.785171
17078;0.867047;0.782214;0.776231
17927;0.861822;0.775796;0.770127
18818;0.859261;0.767935;0.760008
19753;0.856347;0.762159;0.756818
20734;0.854439;0.755053;0.750409
21764;0.853673;0.750145;0.744579
22845;0.853091;0.746001;0.740144
23980;0.852895;0.741494;0.738248
25171;0.854582;0.920815;0.92361
26421;0.973866;0.905791;0.909655
27733;0.962215;0.895126;0.894988
29110;0.951943;0.880953;0.881848
30555;0.944568;0.867972;0.872539
32072;0.936027;0.857833;0.857989
33664;0.933539;0.849274;0.849109
35335;0.925691;0.840477;0.841088
37089;0.92193;0.832972;0.833749
38930;0.918713;0.825299;0.825684
40863;0.915145;0.818771;0.823714
42892;0.913456;0.812994;0.816441
45022;0.914592;0.808223;0.812603
47258;0.915587;0.804401;0.809901
49605;0.914716;0.996326;1.01482
52069;1.04532;0.977558;0.996346
54656;1.03046;0.960905;0.977913
57372;1.01847;0.947875;0.96689
60223;1.00986;0.934139;0.954152
63216;0.999388;0.921971;0.94148
66357;0.993007;0.911133;0.930247
69656;0.985038;0.900176;0.918609
73119;0.978774;0.890464;0.911489
76755;0.974288;0.883074;0.903211
80572;0.972963;0.875748;0.895628
84579;0.968037;0.869055;0.890988
88786;0.969162;0.86342;0.88726
93203;0.96899;0.857948;0.883095
97840;0.967023;0.853777;0.877243
102706;0.967092;1.03732;1.06784
107816;1.08686;1.01881;1.04875
113182;1.07355;1.00175;1.0305
118816;1.06279;0.985635;1.01216
124731;1.04951;0.971391;0.99841
130941;1.04076;0.958542;0.984743
137461;1.03259;0.94693;0.972458
144307;1.02496;0.935902;0.962199
151495;1.01993;0.926244;0.951636
159042;1.01591;0.917625;0.944024
166965;1.01224;0.910201;0.937109
175284;1.00955;0.90293;0.93016
184019;1.00982;0.897059;0.926092
193190;1.00569;0.891611;0.921307
202820;1.00701;1.10033;1.14452
212931;1.14477;1.08015;1.12479
223547;1.13111;1.06253;1.10545
234692;1.11662;1.04631;1.08868
246395;1.10692;1.03056;1.07511
258683;1.09939;1.01776;1.06001
271585;1.09366;1.00678;1.04967
285132;1.0886;0.997177;1.03776
299354;1.08672;0.990688;1.02795
314289;1.0854;0.984198;1.02122
329969;1.08797;0.979573;1.01715
346432;1.09109;0.973674;1.01379
363719;1.0962;0.971822;1.01302
381870;1.10545;0.970271;1.00821
400928;1.1165;1.42269;1.48819
420937;1.4428;1.39994;1.47078
441947;1.43408;1.38184;1.45248
464005;1.43321;1.36402;1.43521
487165;1.43402;1.34934;1.41941
511485;1.43825;1.34186;1.41368
537019;1.45057;1.33305;1.40597
563827;1.46656;1.3268;1.40049
591977;1.48504;1.32448;1.38898
621532;1.50638;1.32289;1.38836
652567;1.53262;1.32484;1.39092
685151;1.55916;1.32929;1.39691
719359;1.58957;1.33732;1.40583
755280;1.62571;1.34718;1.41641
792997;1.66418;1.89192;2.14614
832595;2.24496;1.88304;2.12955
874177;2.24194;1.87323;2.10933
917832;2.24354;1.86279;2.08699
963677;2.24779;1.85416;2.06747
1011813;2.25344;1.84584;2.05423
1062351;2.26284;1.83903;2.04104
1115422;2.27587;1.83281;2.02717
1171143;2.28921;1.83478;2.02752
1229634;2.3088;1.84292;2.02732
1291062;2.33208;1.84807;2.03009
1355554;2.35579;1.85134;2.03602
1423274;2.38254;1.86716;2.04369
1494380;2.40025;1.87195;2.04872
1569031;2.43563;1.8947;2.06436
1647417;3.16052;2.4545;2.88204
1729734;3.13503;2.43465;2.84733
1816153;3.11642;2.40782;2.81098
1906885;3.09887;2.38318;2.78156
2002164;3.08632;2.37837;2.74998
2102198;3.08389;2.37075;2.72171
2207233;3.08048;2.3531;2.72137
2317508;3.07498;2.34311;2.69706
2433290;3.07968;2.34222;2.69842
2554854;3.08315;2.3402;2.69178
2682511;3.091;2.33815;2.69184
2816546;3.10287;2.34527;2.69107
2957287;3.11625;2.34432;2.70771
