No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
137461;1.16778;0.984023;1.05276
144307;1.16676;0.972133;1.03876
151495;1.16172;0.962472;1.0371
159042;1.16017;0.956779;1.02362
166965;1.16005;0.949085;1.01991
175284;1.1585;0.945783;1.01153
184019;1.16207;0.936355;1.01096
193190;1.15332;0.932942;1.00363
202820;1.15949;1.14932;1.26387
212931;1.37129;1.13433;1.24264
223547;1.34944;1.11363;1.22586
234692;1.33356;1.0986;1.21417
246395;1.33257;1.08661;1.18609
258683;1.31786;1.07077;1.18485
271585;1.31046;1.06416;1.16341
285132;1.28816;1.04583;1.15074
299354;1.29619;1.0392;1.14052
314289;1.27596;1.02365;1.13064
329969;1.28546;1.03231;1.16063
346432;1.32079;1.03021;1.11535
363719;1.25733;1.00948;1.11272
381870;1.27856;0.99984;1.09629
400928;1.25389;1.23361;1.3968
420937;1.4863;1.20259;1.36085
441947;1.52127;1.20787;1.37533
464005;1.49749;1.20774;1.34051
487165;1.58078;1.14997;1.32368
511485;1.42058;1.14248;1.28713
537019;1.4164;1.11595;1.25293
563827;1.44022;1.10376;1.31069
591977;1.41406;1.08814;1.24998
621532;1.37403;1.16295;1.23765
652567;1.43668;1.07316;1.19643
685151;1.41377;1.10759;1.25455
719359;1.38402;1.0939;1.24842
755280;1.39371;1.05708;1.17278
792997;1.33727;1.30777;1.51183
832595;1.71686;1.35487;1.64676
874177;1.90362;1.37488;1.91236
917832;2.04167;1.42455;1.52532
963677;1.71465;1.35959;1.81406
1011813;1.98582;1.46806;1.80907
1062351;1.98933;1.35798;1.55199
1115422;1.76686;1.34495;1.59422
1171143;1.95528;1.40924;1.71292
1229634;2.01822;1.44378;1.67326
1291062;2.11138;1.55418;1.78697
1355554;2.13757;1.51514;1.67024
1423274;2.05603;1.49431;1.69244
1494380;2.17768;1.61074;1.77959
1569031;2.32839;1.60431;1.82104
1647417;3.08249;1.97775;2.52205
1729734;2.92915;1.90152;2.43406
1816153;2.61276;1.85935;2.14841
1906885;2.29178;1.68292;2.03815
2002164;2.45531;1.60421;1.94808
2102198;2.59137;1.7319;2.21401
2207233;2.90926;1.79432;2.04812
2317508;2.42566;1.68856;2.35726
2433290;2.74858;1.69844;1.9259
2554854;2.5424;1.73754;2.16167
2682511;2.64462;1.76034;1.99992
2816546;2.51995;1.83909;2.25057
2957287;2.71223;1.90435;2.47142
