cset: --> last message, executed args into cpuset "/user", new pid is: 725968
Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
1494659;0.79926;0.602653;0.69328
1569342;0.807603;0.617289;0.712229
1647759;0.813681;0.556453;0.652798
1730096;0.823036;0.565517;0.663898
1816549;0.833097;0.574699;0.674717
1907324;0.84326;0.584883;0.686304
2002637;0.85511;0.594923;0.698719
2102715;0.869917;0.60551;0.712001
2207796;0.884423;0.617212;0.724983
2318131;0.899716;0.629279;0.739818
2433982;0.917349;0.641648;0.753583
2555625;0.935634;0.654323;0.767516
2683350;0.955675;0.667746;0.781898
2817461;0.97693;0.681158;0.79863
2958277;0.863519;0.696328;0.812688
Scattered unsuccessful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.33562;0.226801;0.247678
10500;0.252179;0.227465;0.249195
11025;0.257911;0.232548;0.255119
11576;0.265611;0.237831;0.259834
12154;0.274231;0.241954;0.264958
12760;0.284722;0.200439;0.220627
13396;0.293603;0.20747;0.227273
14063;0.302293;0.211309;0.235007
14763;0.31019;0.218018;0.241544
15498;0.317822;0.222879;0.248535
16269;0.328858;0.230819;0.257839
17078;0.338044;0.235573;0.264219
17927;0.347479;0.239968;0.270452
18818;0.358518;0.246094;0.276345
19753;0.36687;0.251364;0.28268
20734;0.377689;0.257643;0.290529
21764;0.288777;0.262107;0.294688
22845;0.296566;0.267916;0.301608
23980;0.30629;0.274704;0.308608
25171;0.315313;0.218695;0.24711
26421;0.324319;0.225559;0.254678
27733;0.332839;0.23178;0.261776
29110;0.340056;0.236219;0.267767
30555;0.348081;0.24216;0.27471
32072;0.357231;0.248541;0.28172
33664;0.365365;0.252727;0.28743
35335;0.374414;0.257935;0.2943
37089;0.38358;0.264135;0.301405
38930;0.391685;0.269036;0.307698
40863;0.400509;0.274295;0.313265
42892;0.297762;0.279565;0.319786
45022;0.306298;0.285097;0.326205
47258;0.314253;0.290261;0.332344
49605;0.323108;0.228276;0.259298
52069;0.332114;0.233831;0.264787
54656;0.339341;0.239729;0.271003
57372;0.347433;0.244899;0.277482
60223;0.356057;0.250981;0.284467
63216;0.365102;0.256466;0.291622
66358;0.372803;0.262169;0.298427
69657;0.381262;0.267201;0.303844
73120;0.391335;0.272829;0.311501
76756;0.399647;0.278005;0.31761
80573;0.408166;0.282866;0.324002
84580;0.418521;0.287345;0.328726
88787;0.306056;0.292438;0.334828
93204;0.313332;0.297754;0.342277
97841;0.322041;0.302436;0.351908
102709;0.33103;0.236287;0.263834
107820;0.338249;0.242026;0.269846
113186;0.347184;0.248508;0.277254
118820;0.355434;0.254119;0.284689
124735;0.364237;0.259726;0.291288
130945;0.3727;0.265324;0.29868
137465;0.381297;0.270888;0.306015
144311;0.391475;0.275925;0.312976
151499;0.400305;0.28096;0.319399
159046;0.409993;0.285494;0.326862
166970;0.420017;0.290449;0.333334
175290;0.310633;0.295533;0.340443
184026;0.321683;0.300497;0.346866
193198;0.333274;0.306698;0.355075
202828;0.3438;0.245079;0.277577
212939;0.351503;0.251655;0.285423
223555;0.363555;0.257906;0.292982
234701;0.376565;0.265042;0.30279
246404;0.387181;0.273698;0.313015
258692;0.39991;0.281771;0.323407
271594;0.414344;0.289833;0.334741
285141;0.430613;0.298621;0.346373
299365;0.44863;0.306872;0.358321
314300;0.465277;0.318259;0.371049
329981;0.487233;0.330758;0.388105
346446;0.511451;0.343807;0.403662
363734;0.471582;0.360724;0.427329
381886;0.499736;0.377726;0.449842
400945;0.531943;0.337569;0.409522
420956;0.562831;0.354898;0.437583
441967;0.595154;0.374958;0.46101
464028;0.630256;0.394687;0.485878
487192;0.668063;0.414583;0.513323
511514;0.706515;0.436038;0.541843
537052;0.737565;0.457234;0.568809
563866;0.775224;0.478416;0.596445
592020;0.815843;0.501855;0.625262
621581;0.858038;0.525618;0.65528
652620;0.901474;0.549676;0.692404
685210;0.948171;0.574485;0.725336
719429;0.835726;0.600131;0.749012
755358;0.860721;0.627799;0.782135
793083;0.888904;0.537725;0.681521
832694;0.918788;0.554196;0.707407
874285;0.948634;0.57096;0.724239
917955;0.980182;0.58874;0.759465
963808;1.00815;0.607496;0.786013
1011953;1.03861;0.625326;0.813792
1062505;1.07574;0.644975;0.841981
1115584;1.11292;0.665029;0.870413
1171316;1.1476;0.685177;0.895323
1229834;1.17369;0.706771;0.925151
1291277;1.21032;0.729936;0.958786
1355792;1.24978;0.753639;0.990478
1423532;1.29075;0.777963;1.02358
1494659;1.03176;0.804473;1.05792
1569342;1.05714;0.831254;1.09462
1647759;1.08313;0.661477;0.900812
1730096;1.10576;0.676798;0.924219
1816549;1.1353;0.692951;0.95198
1907324;1.16368;0.710133;0.979117
2002637;1.19166;0.727787;1.00565
2102715;1.22862;0.746257;1.03528
2207796;1.26094;0.765144;1.06286
2318131;1.29218;0.78484;1.09897
2433982;1.32828;0.805529;1.13088
2555625;1.36449;0.827259;1.15522
2683350;1.40247;0.849908;1.18709
2817461;1.4446;0.874042;1.22323
2958277;1.12462;0.899394;1.25405
